ID_GRUPO,ID_FECHA_GRUPO,ID_HORA_INICIO,ID_HORA_FIN,ID_CURSO_ACADEMICO,ID_ASIGNATURA,ID_TIPO_DOCENCIA,ID_COD_GRUPO,ID_PERIODO_DOCENTE,IND_ALUMNOS_GRUPO_PREV,IND_ALUMNOS_GRUPO_REAL,IND_HORAS_PREVISTAS
2024-0-115-102789-54-422,2025-05-28,830,930,2024,102789,54,422,1,43,39,6.0
2024-0-115-101751-56-22,2025-05-28,2000,2100,2024,101751,56,22,1,18,21,5.0
2024-0-115-102746-54-471,2025-05-28,1700,1800,2024,102746,54,471,1,37,22,12.0
2024-0-115-101752-56-21,2025-05-28,1500,1600,2024,101752,56,21,1,21,21,5.0
2024-0-115-102697-54-331,2025-05-28,1030,1130,2024,102697,54,331,1,16,10,12.0
2024-0-115-102775-1-45,2025-05-28,1500,1700,2024,102775,1,45,1,29,57,26.0
2024-0-115-101770-56-13,2025-05-28,1900,2100,2024,101770,56,13,1,19,13,4.0
2024-0-115-104343-54-811,2025-05-28,1230,1430,2024,104343,54,811,1,35,36,12.0
2024-0-115-101770-56-11,2025-05-28,1900,2100,2024,101770,56,11,1,19,13,4.0
2024-0-115-103797-54-332,2025-05-28,930,1030,2024,103797,54,332,1,40,41,12.0
2024-0-115-102745-54-411,2025-05-28,1130,1230,2024,102745,54,411,1,36,36,12.0
2024-0-115-101746-56-23,2025-05-28,1900,2000,2024,101746,56,23,1,20,22,5.0
2024-0-115-102707-1-31,2025-05-28,830,930,2024,102707,1,31,1,86,81,45.0
2024-0-115-102769-55-417,2025-05-28,830,1030,2024,102769,55,417,1,20,18,12.0
2024-0-115-101768-1-11,2025-05-28,1500,1700,2024,101768,1,11,1,52,56,26.0
2024-0-115-102764-54-472,2025-05-28,1500,1700,2024,102764,54,472,1,37,44,50.0
2024-0-115-104346-54-81,2025-05-28,1030,1230,2024,104346,54,81,1,32,28,49.5
2024-0-115-104362-54-82,2025-05-28,1700,1900,2024,104362,54,82,1,0,25,49.5
2024-0-115-102772-1-47,2025-05-28,1700,1900,2024,102772,1,47,1,67,71,30.0
2024-0-115-104338-54-82,2025-05-28,1230,1430,2024,104338,54,82,1,42,48,49.5
2024-0-115-102708-54-332,2025-05-28,1030,1130,2024,102708,54,332,1,46,48,6.0
2024-0-115-101770-54-11,2025-05-28,1900,2100,2024,101770,54,11,1,29,20,10.0
2024-0-115-104355-54-81,2025-05-28,1500,1700,2024,104355,54,81,1,0,46,49.5
2024-0-115-101746-1-11,2025-05-28,1700,1900,2024,101746,1,11,1,61,67,30.0
2024-0-115-106045-1-21,2025-05-28,930,1030,2024,106045,1,21,1,117,113,34.0
2024-0-115-103804-54-412,2025-05-28,1130,1230,2024,103804,54,412,1,38,24,12.0
2024-0-115-101752-1-11,2025-05-28,1600,1800,2024,101752,1,11,1,61,63,30.0
2024-0-115-103813-54-211,2025-05-28,1230,1330,2024,103813,54,211,1,43,47,15.0
2024-0-115-101770-54-12,2025-05-28,1900,2100,2024,101770,54,12,1,28,19,10.0
2024-0-115-102708-54-331,2025-05-28,930,1030,2024,102708,54,331,1,46,49,6.0
2024-0-115-103797-54-331,2025-05-28,1030,1130,2024,103797,54,331,1,40,42,12.0
2024-0-115-104359-54-81,2025-05-28,830,1030,2024,104359,54,81,1,32,33,49.5
